date,open,high,low,close,volume
2017-03-01 09:30:00,136.47,136.69,136.41,136.66,333379
2017-03-01 09:31:00,136.68,136.69,136.54,136.68,108519
2017-03-01 09:32:00,136.68,136.85,136.67,136.809,166603
2017-03-01 09:33:00,136.798,136.83,136.69,136.74,62425
2017-03-01 09:34:00,136.756,136.82,136.5,136.68,85499
2017-03-01 09:35:00,136.68,136.72,136.655,136.69,105306
2017-03-01 09:36:00,136.695,136.84,136.69,136.82,107807
2017-03-01 09:37:00,136.815,136.9,136.815,136.826,124409
2017-03-01 09:38:00,136.826,136.83,136.75,136.809,97755
2017-03-01 09:39:00,136.8,136.8,136.36,136.36,119169
2017-03-01 09:40:00,136.35,136.5,136.3,136.36,126465
2017-03-01 09:41:00,136.37,136.525,136.37,136.46,77654
2017-03-01 09:42:00,136.48,136.53,136.36,136.49,46905
2017-03-01 09:43:00,136.496,136.64,136.47,136.55,70300
2017-03-01 09:44:00,136.55,136.6,136.5,136.53,57288
2017-03-01 09:45:00,136.56,136.66,136.55,136.6,54296
2017-03-01 09:46:00,136.6,136.7,136.6,136.67,24375
2017-03-01 09:47:00,136.682,136.74,136.66,136.71,45031
2017-03-01 09:48:00,136.7,136.74,136.62,136.67,63703
2017-03-01 09:49:00,136.67,136.71,136.59,136.63,80974
2017-03-01 09:50:00,136.616,136.65,136.55,136.55,41964
2017-03-01 09:51:00,136.56,136.59,136.49,136.51,26105
2017-03-01 09:52:00,136.515,136.515,136.37,136.44,82323
2017-03-01 09:53:00,136.45,136.545,136.39,136.402,44699
2017-03-01 09:54:00,136.39,136.41,136.32,136.37,31466
2017-03-01 09:55:00,136.38,136.47,136.35,136.44,43040
2017-03-01 09:56:00,136.445,136.63,136.445,136.572,68447
2017-03-01 09:57:00,136.57,136.62,136.568,136.598,33293
2017-03-01 09:58:00,136.609,136.61,136.57,136.58,24118
2017-03-01 09:59:00,136.6,136.7,136.59,136.7,71289
2017-03-01 10:00:00,136.71,136.74,136.67,136.73,46113
2017-03-01 10:01:00,136.712,136.86,136.68,136.77,106931
2017-03-01 10:02:00,136.78,136.81,136.69,136.79,79151
2017-03-01 10:03:00,136.795,136.8,136.681,136.693,47643
2017-03-01 10:04:00,136.682,136.78,136.64,136.77,61779
2017-03-01 10:05:00,136.77,136.79,136.725,136.778,41756
2017-03-01 10:06:00,136.779,136.8,136.76,136.79,25433
2017-03-01 10:07:00,136.78,136.78,136.68,136.68,31841
2017-03-01 10:08:00,136.69,136.84,136.67,136.79,98457
2017-03-01 10:09:00,136.78,136.97,136.78,136.94,104047
2017-03-01 10:10:00,136.93,136.93,136.84,136.87,35902
2017-03-01 10:11:00,136.86,136.86,136.73,136.8,44619
2017-03-01 10:12:00,136.79,136.89,136.78,136.878,33616
2017-03-01 10:13:00,136.86,136.95,136.83,136.89,64371
2017-03-01 10:14:00,136.88,136.915,136.84,136.885,36174
2017-03-01 10:15:00,136.87,136.87,136.82,136.83,24786
2017-03-01 10:16:00,136.85,136.863,136.769,136.81,31279
2017-03-01 10:17:00,136.804,136.86,136.76,136.767,18599
2017-03-01 10:18:00,136.78,136.799,136.69,136.72,36933
2017-03-01 10:19:00,136.711,136.733,136.683,136.71,21210
2017-03-01 10:20:00,136.71,136.8,136.71,136.775,32734
