Date,CreateTime,Adjused Sentiment,Symbol
3/28/2017,0:00:10,0.967049318,TSLA
3/28/2017,0:00:37,0.029047289,TSLA
3/28/2017,0:01:36,0.929694264,AAPL
3/28/2017,0:03:20,-0.860673511,TSLA
3/28/2017,0:03:21,0.982478452,FB
3/28/2017,0:06:54,0.76865407,AAPL
3/28/2017,0:07:25,-0.741164581,TSLA
3/28/2017,0:07:53,0.06051027,TSLA
3/28/2017,0:09:13,-0.029994189,TSLA
3/28/2017,0:11:57,-0.99664383,TSLA
3/28/2017,0:13:53,-0.17388505,TSLA
3/28/2017,0:14:33,0.983578022,AAPL
3/28/2017,0:16:31,-0.174909208,TSLA
3/28/2017,0:16:34,-0.186399176,TSLA
3/28/2017,0:17:05,-0.947943852,TSLA
3/28/2017,0:17:29,0.876861909,TSLA
3/28/2017,0:21:26,0.939581577,FB
3/28/2017,0:24:48,0.904038207,FB
3/28/2017,0:25:22,0.105031633,TSLA
3/28/2017,0:27:56,-0.736507477,TSLA
3/28/2017,0:28:00,0.846801931,AAPL
3/28/2017,0:28:31,0.92891145,AAPL
3/28/2017,0:31:56,0.967846971,AAPL
3/28/2017,0:37:39,0.919603317,TSLA
3/28/2017,0:37:40,0.914498719,AAPL
3/28/2017,0:37:46,0.708381429,AAPL
3/28/2017,0:38:50,0.965246801,AAPL
3/28/2017,0:40:23,0.852256239,TSLA
3/28/2017,0:43:29,-0.998956871,TSLA
3/28/2017,0:46:14,0.775241935,FB
3/28/2017,0:51:05,0.983906931,AAPL
3/28/2017,0:52:00,-0.091176099,TSLA
3/28/2017,0:53:53,0.998095336,AAPL
3/28/2017,0:59:36,0.910463037,AAPL
3/28/2017,1:00:01,0.9171395,FB
3/28/2017,1:02:51,0.749388606,TSLA
3/28/2017,1:04:52,0.881428464,AAPL
3/28/2017,1:07:22,0.147975373,FB
3/28/2017,1:11:10,0.802368215,TSLA
3/28/2017,1:14:23,0.868402136,AAPL
3/28/2017,1:19:36,-0.852069464,AAPL
3/28/2017,1:19:53,0.833026362,AAPL
3/28/2017,1:24:40,0.170427103,TSLA
3/28/2017,1:24:52,0.804606684,AAPL
3/28/2017,1:25:36,0.956487419,AAPL
3/28/2017,1:26:29,0.764169137,TSLA
3/28/2017,1:32:10,0.974709775,AAPL
3/28/2017,1:33:32,0.959948929,AAPL
3/28/2017,1:36:26,0.793960836,TSLA
3/28/2017,1:36:42,0.866108777,TSLA
3/28/2017,1:38:34,0.999598321,AAPL
3/28/2017,1:39:20,0.981175962,AAPL
3/28/2017,1:44:30,0.989271986,AAPL
3/28/2017,1:47:13,0.922343428,TSLA
3/28/2017,1:48:02,0.921027474,AAPL
3/28/2017,1:52:04,0.993017099,AAPL
3/28/2017,1:52:33,0.973356268,TSLA
3/28/2017,1:57:17,0.853141065,TSLA
3/28/2017,2:01:51,0.927147368,AAPL
3/28/2017,2:04:07,0.068625033,TSLA
3/28/2017,2:06:13,0.121318595,TSLA
3/28/2017,2:17:48,0.935854048,TSLA
3/28/2017,2:26:08,0.875726713,TSLA
3/28/2017,2:29:45,-0.17936951,AAPL
3/28/2017,2:29:56,-0.06309403,TSLA
3/28/2017,2:33:48,-0.901754253,TSLA
3/28/2017,2:36:37,0.01412849,TSLA
3/28/2017,2:37:14,0.130078609,TSLA
3/28/2017,2:37:35,0.842674433,TSLA
3/28/2017,2:38:26,0.163485673,FB
3/28/2017,2:38:33,0.03452494,TSLA
3/28/2017,2:40:39,-0.979653569,TSLA
3/28/2017,2:43:27,0.144853164,TSLA
3/28/2017,2:46:54,0.826336578,TSLA
3/28/2017,2:49:30,0.742799089,AAPL
3/28/2017,2:49:46,0.877762387,TSLA
3/28/2017,2:55:54,0.99673721,TSLA
3/28/2017,3:02:42,0.172911894,TSLA
3/28/2017,3:05:37,-0.971671175,TSLA
3/28/2017,3:05:52,0.864755429,TSLA
3/28/2017,3:07:14,0.779944797,TSLA
3/28/2017,3:09:30,0.925913133,TSLA
3/28/2017,3:11:25,0.726990106,FB
3/28/2017,3:18:17,0.999998021,TSLA
3/28/2017,3:21:57,0.841688647,TSLA
3/28/2017,3:22:38,0.00927141,TSLA
3/28/2017,3:23:15,0.794382016,TSLA
3/28/2017,3:32:12,0.826778629,TSLA
3/28/2017,3:33:14,0.763326716,TSLA
3/28/2017,3:51:36,0.750498035,TSLA
3/28/2017,3:53:02,0.851989429,TSLA
3/28/2017,3:53:55,0.896154221,AAPL
3/28/2017,3:56:48,0.825523027,TSLA
3/28/2017,4:00:20,0.993646364,AAPL
3/28/2017,4:03:15,0.998314993,AAPL
3/28/2017,4:05:06,0.851940859,TSLA
3/28/2017,4:07:45,0.997429464,AAPL
3/28/2017,4:08:10,0.992349983,TSLA
3/28/2017,4:09:24,0.858338268,TSLA
3/28/2017,4:14:36,0.797745946,AAPL
3/28/2017,4:14:41,0.996660013,AAPL
3/28/2017,4:15:19,-0.914987673,TSLA
3/28/2017,4:20:23,0.754221184,AAPL
3/28/2017,4:20:34,0.892803763,TSLA
3/28/2017,4:20:59,0.809528855,TSLA
3/28/2017,4:21:04,0.993705116,FB
3/28/2017,4:21:49,0.994844558,TSLA
3/28/2017,4:22:34,0.986782217,TSLA
3/28/2017,4:23:13,0.872249806,TSLA
3/28/2017,4:48:44,0.992616417,TSLA
3/28/2017,4:53:12,0.99986281,AAPL
3/28/2017,4:53:20,0.996971564,AAPL
3/28/2017,4:58:21,0.992754685,TSLA
3/28/2017,5:10:29,-0.109263304,AAPL
3/28/2017,5:11:05,0.898597875,AAPL
3/28/2017,5:13:56,0.995139635,TSLA
3/28/2017,5:16:31,0.950862228,FB
3/28/2017,5:16:41,-0.819392719,AAPL
3/28/2017,5:17:16,0.947147342,TSLA
3/28/2017,5:18:11,-0.969013345,TSLA
3/28/2017,5:26:43,-0.005323651,TSLA
3/28/2017,5:29:44,0.095158145,TSLA
3/28/2017,5:30:54,0.814165905,AAPL
3/28/2017,5:36:41,0.970587286,AAPL
3/28/2017,5:39:13,0.163761603,TSLA
3/28/2017,5:46:49,0.165851541,AAPL
3/28/2017,5:56:15,0.192259187,AAPL
3/28/2017,5:59:41,-0.768393615,AAPL
3/28/2017,6:04:06,0.767717832,AAPL
3/28/2017,6:22:31,0.100603751,TSLA
3/28/2017,6:24:41,0.820826968,FB
3/28/2017,6:32:11,0.970759166,AAPL
3/28/2017,6:37:09,-0.079580405,TSLA
3/28/2017,6:44:44,-0.937046754,FB
