ID,Symbol,CreateTime,Body,Sentiment
81049172,AAPL,2017-04-25T09:56:22Z,b'Apple&#39;s team of self-driving car experts https://seekingalpha.com/news/3259194?source=ansh $TSLA# $AAPL',None
81049095,AAPL,2017-04-25T09:50:33Z,b'Samsung: The Galaxy S8 Hits A Few Snags https://seekingalpha.com/article/4064767?source=ansh $SSNLF# $AAPL# $QCOM',None
81048629,AAPL,2017-04-25T09:20:59Z,b'$AAPL Tuesday Tech Wrap: Apple# Square# Jimmy Wales http://www.forbes.com/sites/parmyolson/2017/04/25/tuesday-tech-wrap-apple-square-jimmy-wales/?utm_source=yahoo&amp;utm_medium=partner&amp;utm_campaign=yahootix&amp;partner=yahootix&amp;yptr=yahoo via https://finzine.com',None
81048476,AAPL,2017-04-25T09:11:24Z,b'ChartGuys Technical Analysis Video 4/24/2017\n\nhttp://scalpthatstock.com/xlk-aapl-fb-technical-analysis-chart-4242017/\n\n$XLK $AAPL $FB',None
81048278,AAPL,2017-04-25T08:51:24Z,b'$AAPL Ftbit&#39;s new tagline. &quot;Feel the burn...&quot;',None
81048269,AAPL,2017-04-25T08:50:44Z,b'$AAPL Apple&#39;s Makes Key Hardware Hires For New Initiatives http://www.investopedia.com/news/apples-makes-key-hardware-hires-new-initiatives-aapl/?partner=YahooSA&amp;yptr=yahoo via https://finzine.com',None
81048145,AAPL,2017-04-25T08:35:20Z,b'$AAPL Apple has reportedly hired ex-NASA and Tesla staffers to boost its self-driving... http://www.cnbc.com/id/104424156?__source=yahoo%7Cfinance%7Cheadline%7Cheadline%7Cstory&amp;par=yahoo&amp;doc=104424156&amp;yptr=yahoo via https://finzine.com',None
81048117,AAPL,2017-04-25T08:32:17Z,b'$AAPL hires Jeff Norris from #NASA to help build future products - Bloomberg \nhttp://www.32trades.com/aapl/',None
81047907,AAPL,2017-04-25T08:05:48Z,b'$AAPL The Apple Watch turned 2# but there might not be a lot to celebrate http://finance.yahoo.com/news/apple-watch-turned-2-might-073355431.html via https://finzine.com',None
81047702,AAPL,2017-04-25T07:38:34Z,b'$BBRY $AAPL $TWTR $TSLA $FB $NVDA $AMZN $GOOG $SP500 My fav stocks in my watchlist http://hubs.ly/H07cT3M0',Bullish
81047608,AAPL,2017-04-25T07:26:00Z,b'$AAPL taps NASA AR specialist to help run own AR efforts# Bloomberg says https://bloom.bg/2pZDyfn',None
81047551,AAPL,2017-04-25T07:16:33Z,b'http://bgr.com/2017/04/23/iphone-8-release-date-refresh-upgrade/amp/ $AAPL BULLISH http://bgr.com/2017/04/23/iphone-8-release-date-refresh-upgrade/amp/',None
81047418,AAPL,2017-04-25T07:01:04Z,b'$AAPL shame on you ! Expecting 1-2 trillion markcap EASY 200-300 a share on sugar monitoring watch',Bullish
81047375,AAPL,2017-04-25T06:54:37Z,b'$SPY $AAPL $GOOG $NFLX $FB $BAC $JPM $GS $NVDA no N. Korea nuke test today. Market rallying again!',None
81047261,AAPL,2017-04-25T06:45:20Z,b'$BBRY $AAPL $TWTR $SNAP $TSLA $FB $NVDA $AMZN $GOOG $SP500 Trump Tax Reform Plan \x96 It\x92s not all glitter &amp; US Market http://hubs.ly/H07cT3M0',None
81047128,AAPL,2017-04-25T06:33:42Z,b'$TSLA $HPQ $AMZN $V $AAPL $SPY',None
81046910,AAPL,2017-04-25T06:14:01Z,b'$AMD $PME $AAPL',Bullish
81046881,AAPL,2017-04-25T06:11:26Z,b'Wolfe Research&#39;s picks seen riding through a volatile market $AAPL $AMGN $BAC $C $CBS $DAL $GE $GLW $JPM $MCK $MS $PRU $TEL $TSN $YUM',None
81046446,AAPL,2017-04-25T05:39:09Z,b'$AAPL $GOOGL $BBRY $MSFT $MU https://www.forbes.com/sites/jaysomaney/2017/04/24/is-apple-intentionally-going-to-delay-the-high-end-iphone-8-launch/#5c9e1b506b95',None
81046219,AAPL,2017-04-25T05:23:40Z,b'$AAPL',Bullish
81045883,AAPL,2017-04-25T05:06:28Z,b'$AAPL I have to admit this has been a very consistent in regards to price movement this year; along with FB',None
81045532,AAPL,2017-04-25T04:50:26Z,b'$AAPL waiting patiently for past 2 years for iphone 8 to switch out my iphone 6 plus',Bullish
81045351,AAPL,2017-04-25T04:43:25Z,b'$AAPL Analysts See 250 Million Apple iPhone Shipments',Bullish
81045227,AAPL,2017-04-25T04:38:08Z,b'@WSNA Phil is the herald of this $AAPL space. \nThanks for all the info!',Bullish
81045194,AAPL,2017-04-25T04:35:41Z,b'$AAPL \x93iPhone 8 To Account For 50% Of Apple&#39;s Total Smartphone Output This Year Claims Morgan Stanley\x94\n\nhttp://wccftech.com/iphone-8-tsunami-supercycle/',Bullish
81045168,AAPL,2017-04-25T04:34:58Z,b'$AAPL \x93&#39;CBS This Morning&#39; to Interview Apple&#39;s SVP Angela Ahrendts Tomorrow - Patently Apple\x94\n\nhttp://www.patentlyapple.com/patently-apple/2017/04/cbs-this-morning-to-interview-apples-svp-angela-ahrendts-tomorrow.html',None
81045150,AAPL,2017-04-25T04:34:24Z,b'$AAPL \x93Apple&#39;s Self-Driving Dream Team Revealed! Meet Ruslan Salakhutdinov &amp; His Crew \xab Driverless\x94\n\nhttps://www.driverless.id/news/apples-self-driving-dream-team-revealed-meet-ruslan-salakhutdinov-his-crew-0177271/',Bullish
81045133,AAPL,2017-04-25T04:33:50Z,b'$AAPL \x93Apple Snags Another AR/VR Expert# this Time from NASA - The Mac Observer\x94\n\nhttps://www.macobserver.com/news/apple-snags-another-arvr-expert-time-nasa/',Bullish
81045091,AAPL,2017-04-25T04:31:20Z,b'$spy $aapl $tsla ??? $ES_F',None
81044663,AAPL,2017-04-25T04:15:30Z,b'$AAPL the bulls in full control for now but there is unique indicator that sending a warning signal or not agreeing on recent bullish pop up',None
81044558,AAPL,2017-04-25T04:12:22Z,b'$AAPL Trump to delay push for wall until Sept.',None
81044006,AAPL,2017-04-25T03:52:53Z,b'How successful is the Apple Watch $aapl  https://om.blog/2017/04/how-successful-is-the-apple-watch/',None
81043995,AAPL,2017-04-25T03:52:34Z,b'Pew: The Future of Free Speech# Trolls# Anonymity and Fake News Online - http://www.pewinternet.org/2017/03/29/the-future-of-free-speech-trolls-anonymity-and-fake-news-online/ - $FB $GOOG $TWTR $SNAP $MSFT $AAPL',None
81043888,AAPL,2017-04-25T03:48:17Z,b'$AAPL Trump wants a 15% corp rate. Even at 20%# $220M after tax cash coming back or $42 a share! ? Not even 50% is baked in! Should be 155!',Bullish
81043519,AAPL,2017-04-25T03:37:50Z,b'Market Commentary For Tue# Apr 25 $XOM# $TSLA# $BAC# $APC# $SPY# $FB# $GLD# $GS# $XLE# $IBM# $AAPL# $GDX# $XLF# $BA http://crweworld.com/article/finance/70006/the-moskowitz-report-xom-tsla-bac-apc-spy-fb-gld-googl-gs-xle-amzn-ibm-aapl-gdx-xlf-ba-nflx-jpm-stock-market-commentary-for-tuesday-april-25-2017',None
81042961,AAPL,2017-04-25T03:22:20Z,b'$HTZ Apple Partners With Donlen A Hertz Company To Develope Autonomous Driving Software! $aapl $car http://www.valuewalk.com/2017/04/apple-car-automated-driving-platform/',Bullish
81042594,AAPL,2017-04-25T03:12:26Z,b'Another Election passes and Stocks jump Higher http://bigwavetrading.com/35996/another-election-passes-and-stocks-jump-higher/ $VIX $NDX $COMPQ $AMZN $GOOGL $FB $AAPL $FED $XLF',None
81041736,AAPL,2017-04-25T02:49:23Z,b'Everyone AFRAID to short the market until after $AAPL earnings 5.2.2017 -- which could work just FINE',None
81041082,AAPL,2017-04-25T02:35:10Z,b'$AAPL $SPY World markets doing a Full Kermit right now. https://www.investing.com/indices/indices-futures',None
81040709,AAPL,2017-04-25T02:26:31Z,b'$AAPL $GOOG $AMZN overall I am bullish. But given the run they have had I think they sell into earnings',None
81040571,AAPL,2017-04-25T02:23:53Z,b'$AAPL How to Trade Volatility in Apple Options http://bit.ly/AAPL_vol\n-\nI think this is really interesting.',Bullish
81040480,AAPL,2017-04-25T02:22:12Z,b'@LYogi Distressed today# buy low... or future shaky as past. $BBRY Patents good# but competition execute better. $AAPL $GOOGL $VMW $FB etc.',None
81040405,AAPL,2017-04-25T02:20:24Z,b'don&#39;t have to be a member to become an expert on option insights: \nhttp://bit.ly/__discover\n\n$AAPL $TSLA $AMZN $NVDA',None
81039495,AAPL,2017-04-25T01:59:20Z,b'$AAPL Great summary of Saber Capital&#39;s letter - long thesis for Apple (great read): https://investoralmanac.com/2017/02/14/saber-capital-letter-2016-review-apple-verisign/',Bullish
81039163,AAPL,2017-04-25T01:51:31Z,b'Buzz $aapl #ar #justbuy  $vuzi https://twitter.com/appleinsider/status/856662820712321024',None
81039129,AAPL,2017-04-25T01:50:40Z,b'$AAPL $FB there has never been a bad price to enter long and hold.',None
81039094,AAPL,2017-04-25T01:49:59Z,b'$AAPL Spotify Wants to Compete With Apple# Inc. on Hardware Now# Too? https://www.fool.com/investing/2017/04/24/spotify-wants-to-compete-with-apple-inc-on-hardwar.aspx?yptr=yahoo via https://finzine.com',None
81039015,AAPL,2017-04-25T01:48:14Z,b'$AAPL Going to crash like a ton of bricks. PT $84',Bearish
