ID,Symbol,Date,CreateTime,Body,Sentiment
81857550,TWTR,2017-05-02,2017-05-02T23:19:40Z,b'$TWTR ... I believe it has bottomed. I made this call in the live room shortly before earnings came out. http://www.61point8.com/Portals/0/article%20images/20170502/20170502TWTR1.png?ver=2017-05-02-191623-430',Bullish
81857540,TWTR,2017-05-02,2017-05-02T23:19:34Z,b'$TWTR. Apple $$$ will be piling into Twitter tomorrow.',Bullish
81857181,TWTR,2017-05-02,2017-05-02T23:15:18Z,b'@MrFish I think this is setting up for a big short squeeze more than $TWTR',None
81857141,TWTR,2017-05-02,2017-05-02T23:14:52Z,b'$NOK $6 EOW next week. I feel it $AAPL $OCLR $AAOI $NVDA $TWLO $TWTR $AMD',Bullish
81856770,TWTR,2017-05-02,2017-05-02T23:10:18Z,b'$TWTR sell now grab your profits!! You don&#39;t wanna sleep with AAPL disappointment + class action lawsuit',Bearish
81856672,TWTR,2017-05-02,2017-05-02T23:09:15Z,b'$TWTR class action is indeed happening.. back to 14 tomorrow !!',None
81854967,TWTR,2017-05-02,2017-05-02T22:49:54Z,b'$AKS still holding for the long-term but also playing $TWTR calls on the side. Up 130% today on 18 strike price calls 5/26 get that green.',Bullish
81854059,TWTR,2017-05-02,2017-05-02T22:41:14Z,b'Twitter: An Offer On The Way? @jack @twitter $TWTR http://bit.ly/2pu5bvX',None
81854054,TWTR,2017-05-02,2017-05-02T22:41:11Z,b'$twtr class action lawsuits are jokes. They rarely pay out',None
81853933,TWTR,2017-05-02,2017-05-02T22:39:58Z,b'@mesapsa why post this on the $TWTR stream lol. Why not $SPY  or something',None
81853530,TWTR,2017-05-02,2017-05-02T22:35:47Z,b'$TWTR shorts suing? If I were to guess',None
81853136,TWTR,2017-05-02,2017-05-02T22:31:40Z,b'$TWTR  A few guys from Fast Money on CNBC thinks we head higher from here!',Bullish
81852192,TWTR,2017-05-02,2017-05-02T22:22:49Z,b'$SPY Uh oh now $TWTR class action lawsuit.',Bearish
81851704,TWTR,2017-05-02,2017-05-02T22:18:09Z,b'$TWTR are you still love in shorts ok then  ? know so much sequezzing is little boring maybe just need to give a space to live with together',None
81851033,TWTR,2017-05-02,2017-05-02T22:12:16Z,b'$TWTR Apple needs to use some cash and buy a Twitter',None
81850571,TWTR,2017-05-02,2017-05-02T22:08:17Z,b'$TWTR holy mother of God',Bullish
81850540,TWTR,2017-05-02,2017-05-02T22:08:01Z,b'$TWTR Entire market about to crumble after war breaks out in NK',None
81850450,TWTR,2017-05-02,2017-05-02T22:07:09Z,b'$TWTR 338k shares just sold!!!',Bullish
81850443,TWTR,2017-05-02,2017-05-02T22:07:05Z,b'$TWTR Where&#39;s the link to this legal action? Need to take Jackass to court!',None
81850105,TWTR,2017-05-02,2017-05-02T22:03:43Z,b'$TWTR Twitter says it&#39;s facing class-action securities lawsuits in California',Bearish
81850010,TWTR,2017-05-02,2017-05-02T22:03:02Z,b'$TWTR this is non stop action. Anything under $19 is a gift.',Bullish
81849672,TWTR,2017-05-02,2017-05-02T22:00:30Z,b'$TWTR it won&#39;t be long now before $25 is a major support level',Bullish
81849152,TWTR,2017-05-02,2017-05-02T21:56:54Z,b'$TWTR India is where China was 6 years ago. Wow# bold a$s statement there...',None
81849099,TWTR,2017-05-02,2017-05-02T21:56:33Z,b'$TWTR so far a 12% return in a few days since earnings. Very happy.',Bullish
81848764,TWTR,2017-05-02,2017-05-02T21:53:44Z,b'$PYPL $TWTR $NFLX this makes my life easier. Just waiting for $FB to report so I can add to TWTR. $AAPL will be a buy. Vol will be high tomo',None
81848733,TWTR,2017-05-02,2017-05-02T21:53:34Z,b'$TWTR all eyes on India# even Tim Cook says so. Twitter already made a footprint. 1+ billion Indians on Twitter for live content. Man...',None
81848279,TWTR,2017-05-02,2017-05-02T21:49:33Z,b'$TWTR level 2 is bananas ?',Bullish
81848229,TWTR,2017-05-02,2017-05-02T21:49:10Z,b'$TWTR what&#39;s the news? Someone just bought 9k shares at 18.28 and the volume has increased a shit ton',Bullish
81848128,TWTR,2017-05-02,2017-05-02T21:48:27Z,b'$AAPL highly doubt huge outflows. But for some other techs. There will be. $TWTR and $NFLX may benefit.',Bullish
81847964,TWTR,2017-05-02,2017-05-02T21:47:28Z,b'$TWTR',None
81847838,TWTR,2017-05-02,2017-05-02T21:46:35Z,b'$TWTR lots of volume now fyi',Bullish
81847827,TWTR,2017-05-02,2017-05-02T21:46:31Z,b'$TWTR Twitter facing shareholder class action lawsuits alleging securities violations in California - SEC filing',None
81847192,TWTR,2017-05-02,2017-05-02T21:42:00Z,b'$TWTR Cuban pumping TWTR# run for the hills!',None
81846672,TWTR,2017-05-02,2017-05-02T21:38:03Z,b'$TWTR big money rotation time.  Out of big cap winners into smaller up and coming winners like $TWTR and $FEYE. Multiple expansion ahead.',Bullish
81846227,TWTR,2017-05-02,2017-05-02T21:34:38Z,b'Twitter Just Filed Its Quarterly Report:  Note 9. Net Loss... http://www.conferencecalltranscripts.org/Q/summary/?id=3748252 $TWTR',None
81845503,TWTR,2017-05-02,2017-05-02T21:30:07Z,b'$TWTR short term bull for now. But stop loss as a fail safe. Still skeptical. 52 week high was $25.',Bullish
81845191,TWTR,2017-05-02,2017-05-02T21:27:50Z,b'Scan results - Expansion Breakout today: $CHGG $MOH $COH $SHOP $TWTR $CMI $CGNX $CYH $AME $NLS ... https://swingtradebot.com/events/45/equities?selected_date=2017-05-02',None
81845058,TWTR,2017-05-02,2017-05-02T21:27:01Z,b'$TWTR here comes Apple money',Bullish
81844861,TWTR,2017-05-02,2017-05-02T21:25:29Z,b'$TWTR I&#39;ll call it my Double lucky Double Eagle now.',None
81843921,TWTR,2017-05-02,2017-05-02T21:18:58Z,b'$TWTR Twtr mojo. AAPL money will come here',None
81843842,TWTR,2017-05-02,2017-05-02T21:18:25Z,b'$TWTR Even with this pop# i&#39;m still voting opposite of what BoD recommends. 2017 Annual Meeting May 22 -10am Pacific https://investor.twitterinc.com/annual-meeting.cfm',None
81842737,TWTR,2017-05-02,2017-05-02T21:11:22Z,b'@mothermarkets my $TWTR bullish call is still worth looking at.  Look how cheap that thing is.',None
81842427,TWTR,2017-05-02,2017-05-02T21:09:20Z,b'$TWTR very bullish recommend you buy',Bullish
81841600,TWTR,2017-05-02,2017-05-02T21:04:43Z,b'$TWTR come on twitter it&#39;s been hours now. Let&#39;s pop more good news. We are on a role. NBA? NHL? Oreilly? Quit holding back.',Bullish
81841020,TWTR,2017-05-02,2017-05-02T21:01:21Z,b'$TWTR the beginning of a super bull run?%',Bullish
