ID,Symbol,CreateTime,Body,Sentiment
81013381,AAPL,2017-04-24T20:05:58Z,b'$TWTR short squeeze coming - IMO',Bullish
81013254,AAPL,2017-04-24T20:05:11Z,b'$TWTR short squeeze coming - IMO',Bullish
81013179,AAPL,2017-04-24T20:04:49Z,b'$TWTR short squeeze coming - IMO',None
81013053,AAPL,2017-04-24T20:04:11Z,b'$TWTR short squeeze coming - IMO',None
81012771,AAPL,2017-04-24T20:02:26Z,b'$TWTR short squeeze coming - IMO',Bullish
81012447,AAPL,2017-04-24T20:01:00Z,b'$TWTR short squeeze coming - IMO',None
81012403,AAPL,2017-04-24T20:00:47Z,b'$TWTR short squeeze coming - IMO',None
81012196,AAPL,2017-04-24T19:59:53Z,b'$TWTR short squeeze coming - IMO',None
81012112,AAPL,2017-04-24T19:59:29Z,b'$TWTR short squeeze coming - IMO',None
81011988,AAPL,2017-04-24T19:58:49Z,b'$TWTR short squeeze coming - IMO',Bullish
81011475,AAPL,2017-04-24T19:56:18Z,b'$TWTR short squeeze coming - IMO',None
81011383,AAPL,2017-04-24T19:55:44Z,b'$TWTR short squeeze coming - IMO',None
81011253,AAPL,2017-04-24T19:55:12Z,b'$TWTR short squeeze coming - IMO',None
81011244,AAPL,2017-04-24T19:55:09Z,b'$TWTR short squeeze coming - IMO',None
81010980,AAPL,2017-04-24T19:53:36Z,b'$TWTR short squeeze coming - IMO',None
81010923,AAPL,2017-04-24T19:53:20Z,b'$TWTR short squeeze coming - IMO',None
81010860,AAPL,2017-04-24T19:52:52Z,b'$TWTR short squeeze coming - IMO',None
81010604,AAPL,2017-04-24T19:51:11Z,b'$TWTR short squeeze coming - IMO',Bullish
81010449,AAPL,2017-04-24T19:50:22Z,b'$TWTR short squeeze coming - IMO',None
81009967,AAPL,2017-04-24T19:47:40Z,b'$TWTR short squeeze coming - IMO',None
81009308,AAPL,2017-04-24T19:43:25Z,b'$TWTR short squeeze coming - IMO',None
81009168,AAPL,2017-04-24T19:42:51Z,b'$TWTR short squeeze coming - IMO',None
81008840,AAPL,2017-04-24T19:40:53Z,b'$TWTR short squeeze coming - IMO',Bullish
81008749,AAPL,2017-04-24T19:40:24Z,b'$TWTR short squeeze coming - IMO',None
81008297,AAPL,2017-04-24T19:37:41Z,b'$TWTR short squeeze coming - IMO',None
81008018,AAPL,2017-04-24T19:35:52Z,b'$TWTR short squeeze coming - IMO',None
81007959,AAPL,2017-04-24T19:35:27Z,b'$TWTR short squeeze coming - IMO',None
81007891,AAPL,2017-04-24T19:34:50Z,b'$TWTR short squeeze coming - IMO',None
81007467,AAPL,2017-04-24T19:32:19Z,b'$TWTR short squeeze coming - IMO',None
81006779,AAPL,2017-04-24T19:27:25Z,b'$TWTR short squeeze coming - IMO',Bullish
81006428,AAPL,2017-04-24T19:25:04Z,b'$TWTR short squeeze coming - IMO',None
81006000,AAPL,2017-04-24T19:22:18Z,b'$TWTR short squeeze coming - IMO',Bullish
81005899,AAPL,2017-04-24T19:21:41Z,b'$TWTR short squeeze coming - IMO',Bearish
81005873,AAPL,2017-04-24T19:21:22Z,b'$TWTR short squeeze coming - IMO',None
81005522,AAPL,2017-04-24T19:19:01Z,b'$TWTR short squeeze coming - IMO',None
81005351,AAPL,2017-04-24T19:17:31Z,b'$TWTR short squeeze coming - IMO',Bullish
81005081,AAPL,2017-04-24T19:15:45Z,b'$TWTR short squeeze coming - IMO',Bullish
81004826,AAPL,2017-04-24T19:13:55Z,b'$TWTR short squeeze coming - IMO',Bullish
81004687,AAPL,2017-04-24T19:12:50Z,b'$TWTR short squeeze coming - IMO',None
81004287,AAPL,2017-04-24T19:10:01Z,b'$TWTR short squeeze coming - IMO',Bullish
81003715,AAPL,2017-04-24T19:06:07Z,b'$TWTR short squeeze coming - IMO',None
81003645,AAPL,2017-04-24T19:05:43Z,b'$TWTR short squeeze coming - IMO',Bullish
81003456,AAPL,2017-04-24T19:04:31Z,b'$TWTR short squeeze coming - IMO',Bullish
81003339,AAPL,2017-04-24T19:03:40Z,b'$TWTR short squeeze coming - IMO',None
81003236,AAPL,2017-04-24T19:02:52Z,b'$TWTR short squeeze coming - IMO',None
81003230,AAPL,2017-04-24T19:02:55Z,b'$TWTR short squeeze coming - IMO',None
81002783,AAPL,2017-04-24T18:59:33Z,b'$TWTR short squeeze coming - IMO',None
81002767,AAPL,2017-04-24T18:59:22Z,b'$TWTR short squeeze coming - IMO',None
81002714,AAPL,2017-04-24T18:58:57Z,b'$TWTR short squeeze coming - IMO',Bullish
81002567,AAPL,2017-04-24T18:58:04Z,b'$TWTR short squeeze coming - IMO',None
81002411,AAPL,2017-04-24T18:57:08Z,b'$TWTR short squeeze coming - IMO',None
81002322,AAPL,2017-04-24T18:56:37Z,b'$TWTR short squeeze coming - IMO',None
81002159,AAPL,2017-04-24T18:55:29Z,b'$TWTR short squeeze coming - IMO',Bullish
81002157,AAPL,2017-04-24T18:55:29Z,b'$TWTR short squeeze coming - IMO',None
81002002,AAPL,2017-04-24T18:54:24Z,b'$TWTR short squeeze coming - IMO',Bullish
81001884,AAPL,2017-04-24T18:53:40Z,b'$TWTR short squeeze coming - IMO',None
81001815,AAPL,2017-04-24T18:53:12Z,b'$TWTR short squeeze coming - IMO',None
81001518,AAPL,2017-04-24T18:51:19Z,b'$TWTR short squeeze coming - IMO',None
81001397,AAPL,2017-04-24T18:50:33Z,b'$TWTR short squeeze coming - IMO',None
81001183,AAPL,2017-04-24T18:48:41Z,b'$TWTR short squeeze coming - IMO',Bullish
81000993,AAPL,2017-04-24T18:47:08Z,b'$TWTR short squeeze coming - IMO',None
81000874,AAPL,2017-04-24T18:46:12Z,b'$TWTR short squeeze coming - IMO',Bullish
81000789,AAPL,2017-04-24T18:45:38Z,b'$TWTR short squeeze coming - IMO',Bullish
81000718,AAPL,2017-04-24T18:45:03Z,b'$TWTR short squeeze coming - IMO',None
81000709,AAPL,2017-04-24T18:45:01Z,b'$TWTR short squeeze coming - IMO',None
81000534,AAPL,2017-04-24T18:43:51Z,b'$TWTR short squeeze coming - IMO',None
81000249,AAPL,2017-04-24T18:41:48Z,b'$TWTR short squeeze coming - IMO',Bullish
81000212,AAPL,2017-04-24T18:41:29Z,b'$TWTR short squeeze coming - IMO',None
81000196,AAPL,2017-04-24T18:41:21Z,b'$TWTR short squeeze coming - IMO',Bullish
80999836,AAPL,2017-04-24T18:38:52Z,b'$TWTR short squeeze coming - IMO',None
80999339,AAPL,2017-04-24T18:35:16Z,b'$TWTR short squeeze coming - IMO',None
80999276,AAPL,2017-04-24T18:34:41Z,b'$TWTR short squeeze coming - IMO',Bullish
80999215,AAPL,2017-04-24T18:34:15Z,b'$TWTR short squeeze coming - IMO',None
80999202,AAPL,2017-04-24T18:34:15Z,b'$TWTR short squeeze coming - IMO',None
80999126,AAPL,2017-04-24T18:33:42Z,b'$TWTR short squeeze coming - IMO',None
80999074,AAPL,2017-04-24T18:33:09Z,b'$TWTR short squeeze coming - IMO',None
