78525163,TSLA,2017-03-28,2017-03-28T00:52:00Z,b'Elon Musk Is About To Turn Us All Into Spacefaring Cyborgs With Neuralink \x96 ZeroPointNow  $tsla http://ibankcoin.com/zeropointnow/2017/03/27/elon-musk-is-about-to-turn-us-all-into-space-faring-cyborgs-with-neuralink/',None
78525258,AAPL,2017-03-28,2017-03-28T00:53:53Z,b'$AAPL How quickly was the dip bought up this morning? Fast enough to break bears&#39; necks. Still cheap here.',Bullish
78525551,AAPL,2017-03-28,2017-03-28T00:59:36Z,b'$AAPL short term bullish but Papa Bear is on deck. New top for Nasdaq but doubtful for S&amp;P.',None
78525568,FB,2017-03-28,2017-03-28T01:00:01Z,b'@share_holder in all serious I just think it too early to make predictions about $SNAP. Analyst have been comparing it to $FB but it moves',None
78525692,TSLA,2017-03-28,2017-03-28T01:02:51Z,b'$TSLA $BLDP $PLUG $FCEL More &quot;fool cells&quot; in the World&#39;s largest automarket Musk https://www.bloomberg.com/news/articles/2017-03-26/china-s-buses-bolster-ballard-s-three-decade-quest-for-hydrogen',None
78525772,AAPL,2017-03-28,2017-03-28T01:04:52Z,b'$AAPL  $opmz get it while it&#39;s cheap this company&#39;s is gonna go up in the future',None
78525881,FB,2017-03-28,2017-03-28T01:07:22Z,b'$FB where all the bears? Shorting? Or snoring?  ?',None
78526077,TSLA,2017-03-28,2017-03-28T01:11:10Z,b'$TSLA Don&#39;t forget: Elon is an Alien with superhuman powers',None
78526233,AAPL,2017-03-28,2017-03-28T01:14:23Z,b'Higher than jesus nuts right now ???? $AAPL $SNAP $SPY',None
78526508,AAPL,2017-03-28,2017-03-28T01:19:36Z,b'Ransomware scammers exploited Safari bug to extort porn-viewing iOS users http://flip.it/yV3ve9 $aapl http://flip.it/yV3ve9',None
78526520,AAPL,2017-03-28,2017-03-28T01:19:53Z,b'$AAPL just buy everything in this market since it doesn&#39;t wants to go down...lol',None
78526547,TSLA,2017-03-28,2017-03-28T01:20:18Z,b'Here\x92s what 166 Estimize analysts believe $TSLA will report for Q1 2017 EPS [Reporting 05/03 AMC] \n http://www.estimize.com/intro/tsla?utm_content=TSLA&amp;utm_medium=eps_update&amp;utm_source=stocktwits#chart=historical',None
78526714,TSLA,2017-03-28,2017-03-28T01:24:40Z,b'New cars are taking longer to sell than they have since 2009\n$TSLA http://on.mktw.net/2mKfWuH',None
78526723,AAPL,2017-03-28,2017-03-28T01:24:52Z,b'$AAPL The fact Apple made and sold +78 million of these in 3 months Q1 2017 = Mind blown.',Bullish
78526752,AAPL,2017-03-28,2017-03-28T01:25:36Z,b'$AAPL all while maintaining insane QC and high 90s customer sat.',None
78526789,TSLA,2017-03-28,2017-03-28T01:26:29Z,b'$TSLA It&#39;s electric...Boogie woogie# woogie . You can&#39;t resist it# It&#39;s electric.',Bullish
78527074,AAPL,2017-03-28,2017-03-28T01:32:10Z,b'$AAPL a nice comeback today like clockwork new Video update explains the facts in detail     stockshttps://youtu.be/FM37OqsL3Ys',None
78527145,AAPL,2017-03-28,2017-03-28T01:33:32Z,b'$AAPL  a nice comback today Video plan explains# this link should work this time     https://youtu.be/FM37OqsL3Ys',None
78527276,TSLA,2017-03-28,2017-03-28T01:36:26Z,b'$TSLA pretty impressive',None
78527287,TSLA,2017-03-28,2017-03-28T01:36:42Z,b'$TSLA This has ATH written all over it. @1simpletrader',Bullish
78527370,AAPL,2017-03-28,2017-03-28T01:38:34Z,b'$AAPL \x93Analyst Suggests Third-Generation Apple Watch Will Include Cellular Connectivity - Mac Rumors\x94\n\nhttps://www.macrumors.com/2017/03/27/apple-watch-3-cellular-connectivity/',Bullish
78527408,AAPL,2017-03-28,2017-03-28T01:39:20Z,b'$AAPL This year&#39;s iPhone upgrade cycle will be even more massive than most people expect - JPMorgan http://www.cnbc.com/id/104366894',None
78527440,AAPL,2017-03-28,2017-03-28T01:44:30Z,b'$AAPL \x93iOS 10.3: All the new features worth checking out right now | Macworld\x94\n\nhttp://www.macworld.com/article/3179746/ios/ios-103-all-the-new-features-worth-checking-out-right-now.html#tk.rss_all',None
78527541,TSLA,2017-03-28,2017-03-28T01:47:13Z,b'ChartGuys Technical Analysis Video 3/27/2017\n\nhttp://scalpthatstock.com/chartguys-technical-analysis-video-3272017/\n\n$YELP $GWPH $PCLN $NVDA $TSLA',None
78527554,TSLA,2017-03-28,2017-03-28T01:47:35Z,b'$TSLA',Bullish
78527572,AAPL,2017-03-28,2017-03-28T01:48:02Z,b'ChartGuys Technical Analysis Video 3/27/2017\n\nhttp://scalpthatstock.com/chartguys-technical-analysis-video-3272017-3/\n\n$XLK $AAPL $FB',None
78527572,FB,2017-03-28,2017-03-28T01:48:02Z,b'ChartGuys Technical Analysis Video 3/27/2017\n\nhttp://scalpthatstock.com/chartguys-technical-analysis-video-3272017-3/\n\n$XLK $AAPL $FB',None
78527751,AAPL,2017-03-28,2017-03-28T01:52:04Z,b'$AAPL been saying this for a while- it&#39;s why we are up 600+% on our leaps! http://www.cnbc.com/2017/03/27/apple-iphone-super-cycle-bigger-than-expected-jpmorgan.html',Bullish
78527768,TSLA,2017-03-28,2017-03-28T01:52:33Z,b'$TSLA First close above BC level in over a month. 3-year reaccumulation setup still present. Long above BC line.',None
78527973,TSLA,2017-03-28,2017-03-28T01:57:17Z,b'$TSLA Monthly Coppock Curve breaking out above zero line for first time since....EVER.',None
78528195,AAPL,2017-03-28,2017-03-28T02:01:51Z,b'Tim Cook set to advise Trump\x92s \x91Office of American Innovation\x92 http://flip.it/Sh-GN7 $aapl http://flip.it/Sh-GN7',None
78528307,TSLA,2017-03-28,2017-03-28T02:04:07Z,b'$TSLA is this just shorts losing their shirt?  Ripe to reverse on a blood red day or too much Musk mojo?',None
78528383,TSLA,2017-03-28,2017-03-28T02:06:13Z,b'@Clanky @RonTurkey @chrisFoxx @simpleplan Exactly. Haven&#39;t seen $TSLA enter 24 Hours of LeMans Porsche/Audi/VW Toyota Nissan will crush them',Bearish
78528388,AAPL,2017-03-28,2017-03-28T02:06:23Z,b'$AAPL ?',Bullish
78528903,TSLA,2017-03-28,2017-03-28T02:17:48Z,b'$TSLA http://video.cnbc.com/gallery/?video=3000604957&amp;play=1',Bullish
78529326,TSLA,2017-03-28,2017-03-28T02:26:08Z,b'$TSLA Tesla&#39;s Musk may now want to plug into your brain USA today 03-27 http://usat.ly/2nGkkKd via @usatoday',None
78529486,AAPL,2017-03-28,2017-03-28T02:29:45Z,b'If we happen to get a low GDP or even a negative number that stocks would rally lol $QQQ $AAPL $FB $AMD $GOOG',None
78529486,FB,2017-03-28,2017-03-28T02:29:45Z,b'If we happen to get a low GDP or even a negative number that stocks would rally lol $QQQ $AAPL $FB $AMD $GOOG',None
78529496,TSLA,2017-03-28,2017-03-28T02:29:56Z,b'$TSLA https://finance.yahoo.com/quote/tsla?ltr=1 Tesla sixth month summary ($ 200.00 to $271.00) M3-2017; Model Y (SUV) -2019',None
78529655,TSLA,2017-03-28,2017-03-28T02:33:48Z,b'$TSLA Absolutely gorgeous EV. Beautiful real interior. Bet a bunch of Tesla Model 3 reservations going to cancel. http://www.caranddriver.com/features/the-2018-jaguar-i-pace-ev-is-a-car-worth-waiting-for-feature',None
78529754,TSLA,2017-03-28,2017-03-28T02:36:37Z,b'$TSLA well well well --- bounces off support at the 240 mark',Bullish
78529775,TSLA,2017-03-28,2017-03-28T02:37:14Z,b'$TSLA Record use but crashing profits for solar. What does that tell you? https://electrek.co/2017/03/27/california-solar-wind-renewable-electricity-record-high-peak/',None
78529787,TSLA,2017-03-28,2017-03-28T02:37:35Z,b'$TSLA starting to outperform industry and SPY...still long in the LT pfolio',Bullish
78529825,FB,2017-03-28,2017-03-28T02:38:26Z,b'Cheap put options and hedges: $PCLN puts cheaper than 100% of history# $BIDU 100%# $FB 100%# $AMZN 100%# $CRM 100%# $GLD 100%# $ORCL 99%',None
78529828,TSLA,2017-03-28,2017-03-28T02:38:33Z,b'$TSLA this land is mine .. right on TOP! Hmmmm!',Bullish
78529905,TSLA,2017-03-28,2017-03-28T02:40:39Z,b'$TSLA Speaking of crashes.This is ridiculous. TSLA apologists chose greed over safety &amp; human lives. Disable AP NOW! https://electrek.co/2017/03/27/tesla-model-x-autopilot-crash-semi/#more-40216',None
78529997,TSLA,2017-03-28,2017-03-28T02:43:27Z,b'$TSLA QUICKLY GETTING THERE!...ON MY T30 !!!',None
78530105,TSLA,2017-03-28,2017-03-28T02:46:54Z,b'$TSLA complete silence from the bears. Lmao they expected to get a break today! Lol',Bullish
78530209,AAPL,2017-03-28,2017-03-28T02:49:30Z,b'$AAPL this market is just right! https://www.facebook.com/justforfunsocial/videos/1877034885867436/',Bearish
78530216,TSLA,2017-03-28,2017-03-28T02:49:46Z,b'$TSLA Should have been + precise. $TSLA is now on my T30 stocks (but it&#39;s my fav by far). Also moving quickly up :)',None
78530423,TSLA,2017-03-28,2017-03-28T02:55:54Z,b'$TSLA THESE BEARS MELTED AWAY FASTER THAN THE SNOW THIS WINTER! ANS UT MELTED FAST!',Bullish
78530692,TSLA,2017-03-28,2017-03-28T03:02:42Z,b'@TradeScheme I sold $tsla today and have lots of dry powder; cautiously looking for more beta stocks',None
78530802,TSLA,2017-03-28,2017-03-28T03:05:37Z,b'$TSLA it&#39;s your turn now..... without subsidies you are nothing... ABSOLUTELY NOTHING...!!!',Bearish
78530811,TSLA,2017-03-28,2017-03-28T03:05:52Z,b'$NFLX well he sounds like guys calling $TSLA $65  they are wrong obviously',None
78530850,TSLA,2017-03-28,2017-03-28T03:07:14Z,b'$TSLA I miss you already; just sold you today at 270. I&#39;m going to have to rent you via options',None
78530934,TSLA,2017-03-28,2017-03-28T03:09:30Z,b'$TSLA i want Th new neuro chip installs in my pre frontal cortex if It&#39;ll make me 1/10 smart as Elon. Trust even at 1/10th I&#39;ll be upgraded',None
78531005,FB,2017-03-28,2017-03-28T03:11:25Z,b'$FB no it did not',None
78531276,TSLA,2017-03-28,2017-03-28T03:18:17Z,b'Tuesday&#39;s Watch Part 2: $PLX $JNUG $AMD $TSLA $AAOI $CARA $HIMX $SCON $NXTD $MU #leggo #StayGreen ???',None
78531406,TSLA,2017-03-28,2017-03-28T03:21:57Z,b'$TSLA not good# not good... https://twitter.com/zerohedge/status/846561917464399873',None
78531426,TSLA,2017-03-28,2017-03-28T03:22:38Z,b'@nextbillionaire @bradams I know the feeling I dumped $tsla at 270 now have cash plus $nvda $amd plus $twtr',None
78531446,TSLA,2017-03-28,2017-03-28T03:23:15Z,b'$TSLA ALL TIME HIGHS SOON!!!',Bullish
78531485,TSLA,2017-03-28,2017-03-28T03:24:21Z,b'$TSLA',None
78531735,TSLA,2017-03-28,2017-03-28T03:32:12Z,b'$TSLA So close to new highs. Wow! Wednesday may be the catalyst.',Bullish
78531763,TSLA,2017-03-28,2017-03-28T03:33:14Z,b'$TSLA based on the fact that you sold at 270# yes# implant a chip fast',None
78532297,TSLA,2017-03-28,2017-03-28T03:51:36Z,b'$TSLA meant my previous message in a sort of kidding manner...gl',None
78532329,TSLA,2017-03-28,2017-03-28T03:53:02Z,b'$TSLA Bears are creative tonight. Good sign.',Bullish
78532362,AAPL,2017-03-28,2017-03-28T03:53:55Z,b'@theBeatles I&#39;d imagine $AAPL would',None
78532464,TSLA,2017-03-28,2017-03-28T03:56:48Z,b'$TSLA so a liquid cold super computer in every Tesla will be able to download your thoughts?once you touched the steerwheel n go/call/ park',Bullish
78532571,AAPL,2017-03-28,2017-03-28T04:00:20Z,b'When Will Apple&#39;s Smartglasses Arrive? https://seekingalpha.com/article/4058330?source=ansh $AAPL# $MSFT# $QCOM# $SSNLF# $TSM',None
